lr,epochs,pt,best_loss,train_scores
0.001,50,0,4.5167038820181915e-07,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.001_50_0.csv
0.001,50,1,1.4467195796896704e-07,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.001_50_1.csv
0.01,50,0,0.000739722338039428,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.01_50_0.csv
0.01,50,1,0.0002495992521289736,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.01_50_1.csv
0.1,50,0,0.0012406682362779975,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.1_50_0.csv
0.1,50,1,0.0011917814845219254,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.1_50_1.csv
0.001,100,0,2.3767570382915437e-05,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.001_100_0.csv
0.001,100,1,2.4864910301403143e-05,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.001_100_1.csv
0.01,100,0,0.0005997038097120821,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.01_100_0.csv
0.01,100,1,0.0005241269245743752,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.01_100_1.csv
0.1,100,0,0.0008071712218225002,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.1_100_0.csv
0.1,100,1,0.0016097534680739045,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.1_100_1.csv
0.001,200,0,3.992069537162024e-07,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.001_200_0.csv
0.001,200,1,4.203097319077642e-07,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.001_200_1.csv
0.01,200,0,0.00017202497110702097,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.01_200_0.csv
0.01,200,1,0.00012208348198328167,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.01_200_1.csv
0.1,200,0,0.0012817656388506293,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.1_200_0.csv
0.1,200,1,0.0011813213350251317,C:\1Faculdade\4ano\Final_REPO_TCC\MosquitoQuantification_TCC\scores\AedesXOutros_MotoX2\resnet50\ValidationScores_0.1_200_1.csv
